Width,Height,ClassId
30,29,0
30,30,0
30,30,0
31,31,0
32,30,0
31,31,0
34,33,0
35,34,0
34,33,0
36,36,0
36,35,0
38,37,0
38,37,0
39,40,0
42,41,0
44,44,0
44,46,0
48,47,0
48,50,0
51,53,0
54,57,0
58,59,0
61,63,0
70,70,0
76,76,0
86,85,0
97,97,0
110,108,0
127,124,0
148,144,0
30,29,0
30,30,0
29,30,0
31,31,0
31,31,0
32,32,0
34,33,0
33,34,0
33,33,0
33,34,0
35,36,0
36,35,0
36,36,0
36,36,0
36,37,0
38,38,0
39,38,0
41,39,0
41,40,0
43,42,0
43,43,0
45,45,0
47,45,0
48,47,0
49,49,0
52,50,0
54,53,0
56,55,0
59,57,0
61,59,0
26,27,0
28,27,0
28,27,0
29,30,0
29,30,0
31,31,0
30,30,0
31,32,0
32,31,0
33,34,0
34,34,0
35,35,0
37,38,0
39,39,0
39,40,0
41,41,0
44,44,0
45,46,0
47,48,0
50,51,0
52,52,0
55,55,0
59,59,0
63,62,0
70,69,0
75,74,0
85,83,0
95,92,0
108,107,0
124,122,0
28,27,0
29,28,0
28,29,0
30,29,0
30,28,0
31,31,0
32,33,0
33,31,0
33,33,0
34,34,0
35,36,0
37,37,0
36,37,0
39,38,0
39,40,0
40,41,0
44,43,0
45,43,0
46,47,0
50,50,0
52,51,0
54,53,0
57,58,0
60,62,0
61,64,0
69,70,0
75,76,0
84,85,0
93,94,0
104,109,0
59,55,0
60,56,0
60,56,0
61,57,0
62,59,0
63,59,0
66,59,0
68,63,0
69,63,0
70,65,0
71,66,0
72,68,0
73,70,0
74,70,0
74,70,0
75,72,0
79,74,0
80,74,0
80,76,0
82,77,0
84,80,0
85,81,0
88,81,0
88,84,0
89,85,0
93,86,0
96,90,0
100,95,0
106,98,0
110,107,0
27,27,0
27,29,0
28,29,0
28,30,0
30,32,0
30,31,0
29,32,0
30,33,0
32,32,0
33,34,0
33,34,0
33,35,0
35,37,0
37,37,0
37,38,0
39,42,0
