Width,Height,ClassId
30,29,Max Speed 20 km/h
30,30,Max Speed 20 km/h
30,30,Max Speed 20 km/h
31,31,Max Speed 20 km/h
32,30,Max Speed 20 km/h
31,31,Max Speed 20 km/h
34,33,Max Speed 20 km/h
35,34,Max Speed 20 km/h
34,33,Max Speed 20 km/h
36,36,Max Speed 20 km/h
36,35,Max Speed 20 km/h
38,37,Max Speed 20 km/h
38,37,Max Speed 20 km/h
39,40,Max Speed 20 km/h
42,41,Max Speed 20 km/h
44,44,Max Speed 20 km/h
44,46,Max Speed 20 km/h
48,47,Max Speed 20 km/h
48,50,Max Speed 20 km/h
51,53,Max Speed 20 km/h
54,57,Max Speed 20 km/h
58,59,Max Speed 20 km/h
61,63,Max Speed 20 km/h
70,70,Max Speed 20 km/h
76,76,Max Speed 20 km/h
86,85,Max Speed 20 km/h
97,97,Max Speed 20 km/h
110,108,Max Speed 20 km/h
127,124,Max Speed 20 km/h
148,144,Max Speed 20 km/h
30,29,Max Speed 20 km/h
30,30,Max Speed 20 km/h
29,30,Max Speed 20 km/h
31,31,Max Speed 20 km/h
31,31,Max Speed 20 km/h
32,32,Max Speed 20 km/h
34,33,Max Speed 20 km/h
33,34,Max Speed 20 km/h
33,33,Max Speed 20 km/h
33,34,Max Speed 20 km/h
35,36,Max Speed 20 km/h
36,35,Max Speed 20 km/h
36,36,Max Speed 20 km/h
36,36,Max Speed 20 km/h
36,37,Max Speed 20 km/h
38,38,Max Speed 20 km/h
39,38,Max Speed 20 km/h
41,39,Max Speed 20 km/h
41,40,Max Speed 20 km/h
43,42,Max Speed 20 km/h
43,43,Max Speed 20 km/h
45,45,Max Speed 20 km/h
47,45,Max Speed 20 km/h
48,47,Max Speed 20 km/h
49,49,Max Speed 20 km/h
52,50,Max Speed 20 km/h
54,53,Max Speed 20 km/h
56,55,Max Speed 20 km/h
59,57,Max Speed 20 km/h
61,59,Max Speed 20 km/h
26,27,Max Speed 20 km/h
28,27,Max Speed 20 km/h
28,27,Max Speed 20 km/h
29,30,Max Speed 20 km/h
29,30,Max Speed 20 km/h
31,31,Max Speed 20 km/h
30,30,Max Speed 20 km/h
31,32,Max Speed 20 km/h
32,31,Max Speed 20 km/h
33,34,Max Speed 20 km/h
34,34,Max Speed 20 km/h
35,35,Max Speed 20 km/h
37,38,Max Speed 20 km/h
39,39,Max Speed 20 km/h
39,40,Max Speed 20 km/h
41,41,Max Speed 20 km/h
44,44,Max Speed 20 km/h
45,46,Max Speed 20 km/h
47,48,Max Speed 20 km/h
50,51,Max Speed 20 km/h
52,52,Max Speed 20 km/h
55,55,Max Speed 20 km/h
59,59,Max Speed 20 km/h
63,62,Max Speed 20 km/h
70,69,Max Speed 20 km/h
75,74,Max Speed 20 km/h
85,83,Max Speed 20 km/h
95,92,Max Speed 20 km/h
108,107,Max Speed 20 km/h
124,122,Max Speed 20 km/h
28,27,Max Speed 20 km/h
29,28,Max Speed 20 km/h
28,29,Max Speed 20 km/h
30,29,Max Speed 20 km/h
30,28,Max Speed 20 km/h
